timestamps,Model Root/PumpFlow/Value
0.0,0.0
3.0229248999999925,0.0
4.121904000000001,5.0
7.174080000000004,5.0
10.239858300000009,5.0
13.301849699999991,5.0
16.359904,5.0
19.426908499999996,5.0
22.48989309999999,5.0
25.54825729999999,5.0
28.613934599999993,5.0
31.67798540000001,5.0
34.734879500000005,5.0
37.801881399999985,5.0
40.86687699999999,5.0
43.921925200000004,5.0
44.07891090000001,0.5
47.098972299999986,0.5
49.890932099999986,0.5
52.895906199999985,0.5
55.96085199999999,0.5
59.017872100000005,0.5
62.07990169999999,0.5
64.2399241,0.5
66.81391389999999,0.5
69.8468852,0.5
71.61891969999999,0.5
73.7728856,0.5
76.85091980000001,0.5
78.94089269999998,0.5
81.98589530000001,0.5
85.05186499999999,0.5
86.60788240000002,0.5
89.64589229999999,0.5
92.70893459999999,0.5
95.7679353,0.5
98.82986969999999,0.5
101.895902,0.5
104.9538406,0.5
108.01687840000002,0.5
111.0818884,0.5
114.1419736,0.5
117.2098948,0.5
120.27248080000001,0.5
123.33006370000001,0.5
126.39602290000002,0.5
129.45395799999997,0.5
132.5180869,0.5
135.57987820000002,0.5
138.6459214,0.5
141.7060706,0.5
144.771915,0.5
147.83585309999998,0.5
150.8919379,0.5
153.95593290000002,0.5
157.01990170000002,0.5
160.0779188,0.5
163.14590360000003,0.5
166.20389329999998,0.5
169.2678842,0.5
172.329874,0.5
175.3979209,0.5
178.45389020000002,0.5
181.52194219999998,0.5
184.57994090000003,0.5
187.64189259999998,0.5
190.70992090000001,0.5
193.7719312,0.5
196.82990429999998,0.5
199.89392189999998,0.5
202.9528999,0.5
206.01789879999998,0.5
209.0798551,0.5
212.1419251,0.5
215.20584720000002,0.5
218.27240149999997,0.5
221.3349127,0.5
224.39286890000002,0.5
227.45386069999998,0.5
230.5199191,0.5
233.57890569999998,0.5
236.6459217,0.5
239.7048996,0.5
242.7669056,0.5
245.8299208,0.5
248.89595440000002,0.5
251.95394839999997,0.5
255.01985269999997,0.5
258.08026470000004,0.5
261.14187289999995,0.5
264.2049091,0.5
267.27009680000003,0.5
270.32989410000005,0.5
273.39688950000004,0.5
276.45385080000005,0.5
279.51690410000003,0.5
282.5808585,0.5
285.640905,0.5
288.70401630000003,0.5
291.7699226,0.5
294.8279133,0.5
297.8928796,0.5
300.95289119999995,0.5
304.0219959,0.5
307.0778928,0.5
310.14487010000005,0.5
313.2039816,0.5
314.22791029999996,0.5
317.25237619999996,0.5
320.31889490000003,0.5
323.3749,0.5
326.43991100000005,0.5
329.49996009999995,0.5
332.56690779999997,0.5
335.6258758,0.5
338.6889729999999,0.5
341.751889,0.5
344.8138781,0.5
347.87592729999994,0.5
350.943897,0.5
353.99989719999996,0.5
357.06989699999997,0.5
360.13192879999997,0.5
363.189715,0.5
366.25185439999996,0.5
369.31595659999994,0.5
372.3758816999999,0.5
375.44189659999995,0.5
378.5069072,0.5
381.5649006,0.5
384.6258884,0.5
387.6939138,0.5
390.7508418,0.5
393.8178954,0.5
396.8809275,0.5
399.9379298,0.5
403.00091899999995,0.5
406.06385909999995,0.5
409.1259299999999,0.5
412.1909195999999,0.5
415.2569080999999,0.5
418.3139029,0.5
421.37687759999994,0.5
424.4438554999999,0.5
427.5008869999999,0.5
430.5678908,0.5
433.6258788,0.5
436.689265,0.5
439.7508517,0.5
442.81796399999996,0.5
445.8759487,0.5
448.9419212,0.5
452.00185739999995,0.5
455.06405299999994,0.5
458.1279035,0.5
461.19190819999994,0.5
464.24993029999996,0.5
467.31689959999994,0.5
470.39289069999995,0.5
