timestamps,Model Root/PumpFlow/Value
0.0,0.0
3.0469619999999997,0.0
6.112981199999999,0.0
7.5859678,1.0
10.592012299999999,1.0
13.2999898,5.0
16.318091000000003,5.0
19.3743476,5.0
22.437004299999998,5.0
25.497993200000003,5.0
28.5669507,5.0
31.6430181,5.0
34.7094204,5.0
37.767036499999996,5.0
39.8599633,1.0
42.9108077,1.0
45.9691324,1.0
49.0523661,1.0
49.8159936,0.5
52.893989,0.5
54.469003799999996,0.5
57.4880067,0.5
59.2800009,0.0
62.29901,0.0
65.3620148,0.0
68.4199726,0.0
71.48310319999999,0.0
74.546962,0.0
77.0669569,0.5
80.1259956,0.5
82.23799369999999,0.0
85.26896149999999,0.0
87.36197279999999,0.5
89.98400179999999,0.0
93.0310093,0.0
96.09300499999999,0.0
97.4609823,0.5
100.47101049999999,0.5
103.1089906,0.0
106.1565426,0.0
109.2182323,0.0
111.0800769,0.5
114.1870118,0.5
116.76101229999999,0.0
119.76702359999999,0.0
122.8320062,0.0
125.8899906,0.0
126.8529733,0.5
129.9412003,0.5
133.0040101,0.5
133.1779741,0.0
136.2830942,0.0
139.34201389999998,0.0
141.4749596,0.5
144.4879437,0.5
147.17498949999998,0.0
150.28002809999998,0.0
153.3450005,0.0
155.3680142,0.5
158.37550969999998,0.5
161.4420911,0.5
161.5039859,0.0
164.6105285,0.0
167.6740013,0.0
168.4090398,0.5
171.4979941,0.5
174.5671559,0.5
174.7479955,0.0
177.8491565,0.0
180.9093799,0.0
183.9680133,0.0
185.4879913,0.5
188.56096879999998,0.5
190.5830575,0.0
193.612957,0.0
196.6734071,0.0
198.7680565,0.5
201.817329,0.5
204.87416349999998,0.5
206.8790108,0.0
209.9090103,0.0
212.97204069999998,0.0
216.0321624,0.0
219.098831,0.0
219.3659968,0.5
222.3799869,0.5
225.43797469999998,0.5
226.1929788,0.0
229.267983,0.0
232.33303469999998,0.0
234.4940398,0.5
237.5831269,0.5
237.93398249999998,0.0
240.9690182,0.0
241.35708459999998,0.5
244.36399229999998,0.5
245.6499833,0.0
248.73401199999998,0.0
251.7969621,0.0
254.4820062,0.5
257.4879908,0.5
258.0409901,0.0
261.0931388,0.0
261.7330128,0.5
263.4999828,0.0
266.5642334,0.0
266.5749847,0.6
268.4930015,0.5
271.5189912,0.5
272.1729961,0.0
275.23250129999997,0.0
278.3024079,0.0
281.3633939,0.0
283.3039911,0.5
286.3890002,0.5
289.1929933,0.0
292.20357309999997,0.0
295.2692703,0.0
297.7569922,0.5
300.8647836,0.5
303.4649948,0.0
306.5450187,0.0
307.63801,0.5
310.7112455,0.5
313.0859633,0.0
316.0976162,0.0
319.1559939,0.0
322.2229997,0.0
324.7649971,0.5
327.8010125,0.5
330.86406569999997,0.5
332.4740034,0.0
335.563474,0.0
338.6244927,0.0
341.6910187,0.0
343.2519886,0.5
346.29733519999996,0.5
349.41218019999997,0.5
349.5330182,0.0
352.5770011,0.0
355.6420412,0.0
356.5309933,0.5
359.5839871,0.5
362.6450501,0.5
364.2380169,0.0
367.3479923,0.0
370.4130225,0.0
373.476131,0.0
376.5331795,0.0
376.8220378,0.5
379.9250225,0.5
381.9480219,0.0
384.95608649999997,0.0
385.09298939999996,0.5
388.1310019,0.5
390.4229721,0.0
393.48700379999997,0.0
396.54714789999997,0.0
399.615012,0.0
402.6740439,0.0
404.0560081,0.5
407.1592003,0.5
410.0290491,0.0
413.0650493,0.0
416.1299969,0.0
418.7490019,0.5
421.81199119999997,0.5
424.8750282,0.5
425.8570282,0.0
428.9400056,0.0
432.0010466,0.0
435.0680458,0.0
435.9940031,0.55
437.7180474,0.5
440.7500344,0.5
443.81499329999997,0.5
444.7200285,0.0
447.75598529999996,0.0
450.8170196,0.0
453.8730389,0.0
456.9410045,0.0
458.2889926,0.5
461.3184607,0.5
463.3300387,0.0
466.3430318,0.0
469.409042,0.0
470.55200279999997,0.5
473.56297,0.5
476.1010109,0.0
479.1399852,0.0
482.2030493,0.0
484.0530482,0.5
487.1299944,0.5
489.3880353,0.0
492.4872974,0.0
495.5450235,0.0
496.61700559999997,0.5
499.7193043,0.5
501.7389708,0.0
504.7559825,0.0
507.8160181,0.0
510.87496539999995,0.0
512.8880254,0.5
515.9060049,0.5
518.9720009,0.5
519.7850351,0.0
522.8012395,0.0
525.8620175,0.0
528.9210552,0.0
528.9264628,0.5
531.9870528,0.5
534.0706166,0.0
537.1230134,0.0
540.1890807,0.0
543.0220219,0.5
546.0969934999999,0.5
546.5180139,0.5
549.5940514,0.5
551.9920562,0.0
555.0622488,0.0
558.1240324,0.0
559.3040243,0.5
562.3900399,0.5
564.2872693,0.0
567.3119712,0.0
570.3760035,0.0
573.4370245,0.0
574.7180031,0.5
577.8140156,0.5
579.8720195,0.0
582.9519847,0.0
586.0141033,0.0
